epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1819.53,1.46215,1.10125,1.63603,0.83453,0.81554,0.87255,0.43455,1.69196,1.04018,1.69872,0.0011684,0.0011684,0.0011684
44,1860.61,1.50845,1.1198,1.69773,0.83447,0.80851,0.8818,0.45793,1.59174,0.99329,1.64671,0.0011486,0.0011486,0.0011486
45,1900.87,1.46106,1.0442,1.6171,0.82978,0.77021,0.87695,0.46488,1.57422,1.05603,1.60387,0.0011288,0.0011288,0.0011288
46,1941.78,1.42224,1.02331,1.62281,0.79265,0.75745,0.82795,0.40833,1.70811,1.14334,1.68024,0.001109,0.001109,0.001109
47,1983.37,1.42012,1.03838,1.5885,0.77667,0.65115,0.73405,0.37134,1.73254,1.30919,1.72058,0.0010892,0.0010892,0.0010892
48,2023.3,1.44559,1.06684,1.65214,0.71547,0.80426,0.81794,0.43299,1.60604,1.11254,1.64937,0.0010694,0.0010694,0.0010694
49,2063.51,1.43671,1.04361,1.63641,0.7985,0.72513,0.82152,0.41153,1.70628,1.18033,1.71471,0.0010496,0.0010496,0.0010496
50,2103.96,1.39244,1.03361,1.60695,0.87773,0.74468,0.87775,0.46139,1.6204,1.00217,1.64758,0.0010298,0.0010298,0.0010298
51,2145.59,1.40516,1.01286,1.61812,0.85113,0.68121,0.80464,0.40572,1.72813,1.17623,1.71545,0.00101,0.00101,0.00101
52,2186,1.38549,1.02582,1.6053,0.83582,0.77872,0.85359,0.45334,1.57941,1.0176,1.59758,0.0009902,0.0009902,0.0009902
53,2226.43,1.38907,0.99022,1.57999,0.84175,0.78723,0.88499,0.4623,1.64081,0.98771,1.64282,0.0009704,0.0009704,0.0009704
54,2267.23,1.39496,1.04309,1.61662,0.82673,0.82553,0.87093,0.4543,1.66094,0.98037,1.67501,0.0009506,0.0009506,0.0009506
55,2309,1.36964,0.94363,1.57707,0.86507,0.80426,0.89689,0.49184,1.57167,0.90202,1.59882,0.0009308,0.0009308,0.0009308
56,2349.5,1.39522,0.95662,1.56546,0.85068,0.75155,0.86366,0.45841,1.66561,1.02759,1.65821,0.000911,0.000911,0.000911
57,2389.47,1.43784,0.9984,1.64634,0.8365,0.77872,0.86982,0.42987,1.69706,1.03672,1.70929,0.0008912,0.0008912,0.0008912
58,2431.13,1.37889,0.95189,1.59458,0.78638,0.84587,0.87847,0.47042,1.54679,0.97009,1.59597,0.0008714,0.0008714,0.0008714
59,2471.72,1.39108,0.96963,1.5985,0.81361,0.81728,0.88664,0.47533,1.62409,0.93445,1.65031,0.0008516,0.0008516,0.0008516
60,2512.19,1.34912,0.95698,1.5656,0.82065,0.87234,0.90785,0.50516,1.53692,0.90494,1.57341,0.0008318,0.0008318,0.0008318
61,2556.34,1.3354,0.93664,1.55015,0.85688,0.8,0.87331,0.47037,1.56708,0.93743,1.61406,0.000812,0.000812,0.000812
62,2596.86,1.34717,0.94017,1.54856,0.8173,0.81702,0.86794,0.46301,1.63674,0.94502,1.6499,0.0007922,0.0007922,0.0007922
63,2637.22,1.34369,0.92659,1.53915,0.83195,0.78723,0.86339,0.45454,1.65105,0.93576,1.65189,0.0007724,0.0007724,0.0007724
64,2677.78,1.31504,0.90294,1.54142,0.85722,0.79197,0.88505,0.46726,1.59494,0.94398,1.62009,0.0007526,0.0007526,0.0007526
65,2719.94,1.28817,0.86106,1.48611,0.83441,0.81483,0.89671,0.47113,1.63136,0.90828,1.64511,0.0007328,0.0007328,0.0007328
66,2760.59,1.32356,0.87711,1.50636,0.84764,0.85957,0.90565,0.48085,1.56456,0.86684,1.60865,0.000713,0.000713,0.000713
67,2800.72,1.26296,0.86447,1.49934,0.8574,0.79317,0.87125,0.46518,1.61707,0.9185,1.62792,0.0006932,0.0006932,0.0006932
68,2842.28,1.30621,0.86789,1.52134,0.8245,0.85532,0.88001,0.46759,1.60091,0.94529,1.60026,0.0006734,0.0006734,0.0006734
69,2883.67,1.27683,0.82873,1.48811,0.83715,0.86809,0.89619,0.48777,1.56834,0.87648,1.61456,0.0006536,0.0006536,0.0006536
70,2924.03,1.27988,0.88518,1.50989,0.92054,0.78881,0.90926,0.51992,1.5133,0.8622,1.58501,0.0006338,0.0006338,0.0006338
71,2967.96,1.27751,0.84945,1.49179,0.88025,0.78723,0.89948,0.49872,1.55137,0.87992,1.59785,0.000614,0.000614,0.000614
72,3008.6,1.23927,0.80767,1.46353,0.83455,0.82979,0.88581,0.46759,1.60558,0.90748,1.64637,0.0005942,0.0005942,0.0005942
73,3048.92,1.23661,0.83432,1.47235,0.84904,0.84255,0.88795,0.48405,1.57278,0.91227,1.59786,0.0005744,0.0005744,0.0005744
74,3089.2,1.21628,0.80132,1.455,0.87013,0.79828,0.90411,0.49483,1.58941,0.86482,1.60729,0.0005546,0.0005546,0.0005546
75,3130.71,1.25095,0.81925,1.456,0.8503,0.85957,0.90622,0.50588,1.55093,0.86552,1.57741,0.0005348,0.0005348,0.0005348
76,3170.79,1.24263,0.77935,1.44842,0.90016,0.80567,0.89409,0.49529,1.55719,0.87756,1.57162,0.000515,0.000515,0.000515
77,3211.17,1.25438,0.82964,1.4753,0.86008,0.8766,0.91864,0.5171,1.52388,0.79416,1.56108,0.0004952,0.0004952,0.0004952
78,3251.83,1.23859,0.79717,1.45087,0.89646,0.82128,0.90924,0.49824,1.557,0.85107,1.57765,0.0004754,0.0004754,0.0004754
79,3293.15,1.2092,0.80099,1.45964,0.83635,0.85532,0.91148,0.49428,1.61249,0.8847,1.63544,0.0004556,0.0004556,0.0004556
80,3333.2,1.19356,0.81659,1.44429,0.87657,0.81595,0.91651,0.50552,1.57072,0.84095,1.59522,0.0004358,0.0004358,0.0004358
81,3373.49,1.17922,0.759,1.43356,0.90785,0.79574,0.91238,0.51429,1.57347,0.84485,1.61526,0.000416,0.000416,0.000416
82,3415.4,1.20798,0.78498,1.46688,0.8486,0.89787,0.92655,0.5194,1.53228,0.81407,1.575,0.0003962,0.0003962,0.0003962
83,3456.29,1.20979,0.78538,1.45167,0.82516,0.88936,0.91368,0.51114,1.53035,0.82726,1.59078,0.0003764,0.0003764,0.0003764
84,3496.27,1.17415,0.75381,1.44746,0.92253,0.81074,0.92133,0.52061,1.51489,0.82612,1.55498,0.0003566,0.0003566,0.0003566
85,3537.65,1.16622,0.76985,1.42231,0.84538,0.87234,0.9128,0.50912,1.5494,0.8435,1.57313,0.0003368,0.0003368,0.0003368
86,3579.25,1.16073,0.74085,1.42104,0.87946,0.82128,0.9108,0.51744,1.55814,0.81388,1.56979,0.000317,0.000317,0.000317
87,3619.31,1.14745,0.72496,1.39916,0.84719,0.89649,0.9228,0.51614,1.51333,0.79032,1.56833,0.0002972,0.0002972,0.0002972
88,3659.6,1.15095,0.73128,1.40165,0.86046,0.83967,0.90722,0.51601,1.54285,0.80169,1.58347,0.0002774,0.0002774,0.0002774
89,3700.12,1.12316,0.70595,1.40034,0.81928,0.91064,0.90635,0.51697,1.52116,0.77969,1.56965,0.0002576,0.0002576,0.0002576
90,3741.43,1.10286,0.6997,1.376,0.87085,0.86082,0.91642,0.51892,1.53993,0.81376,1.57524,0.0002378,0.0002378,0.0002378
91,3782.64,1.08674,0.61912,1.44511,0.92062,0.82128,0.92973,0.52858,1.53949,0.78812,1.58946,0.000218,0.000218,0.000218
92,3823.53,1.05031,0.59123,1.411,0.87951,0.86809,0.93031,0.53048,1.5268,0.77133,1.57553,0.0001982,0.0001982,0.0001982
93,3865.79,1.0453,0.56913,1.39446,0.84889,0.91915,0.93422,0.54337,1.531,0.73902,1.56303,0.0001784,0.0001784,0.0001784
94,3906.27,1.03507,0.55739,1.39074,0.8987,0.86832,0.93544,0.53893,1.53162,0.73321,1.56946,0.0001586,0.0001586,0.0001586
95,3945.88,0.99856,0.53754,1.3502,0.88831,0.87991,0.92625,0.5386,1.52491,0.7264,1.57693,0.0001388,0.0001388,0.0001388
96,3986.24,0.98625,0.54769,1.34644,0.891,0.86959,0.92536,0.535,1.53572,0.74458,1.60315,0.000119,0.000119,0.000119
97,4027.42,1.0067,0.53118,1.3685,0.9094,0.85957,0.93435,0.53486,1.52914,0.74372,1.59369,9.92e-05,9.92e-05,9.92e-05
98,4067.26,0.97583,0.52608,1.33882,0.86712,0.91064,0.93723,0.54072,1.52155,0.72772,1.57469,7.94e-05,7.94e-05,7.94e-05
99,4106.97,0.97074,0.51415,1.33049,0.87139,0.90638,0.92936,0.53717,1.53188,0.73736,1.59105,5.96e-05,5.96e-05,5.96e-05
100,4147.33,0.98187,0.52783,1.33218,0.86205,0.9041,0.92983,0.53953,1.53911,0.73839,1.59813,3.98e-05,3.98e-05,3.98e-05
